meanfreq,sd,median,Q25,Q75,skew,sp.ent,sfm,mode,meanfun,minfun,maxfun,meandom,mindom,dfrange,modindx,label
0.151228092,0.072110587,0.158011187,0.096581728,0.207955252,1.232831276,0.963322462,0.727231799,0.083878185,0.088964849,0.017797553,0.25,0.201497396,0.0078125,0.5546875,0.247119078,0
0.135120387,0.0791461,0.124656229,0.078720218,0.206044929,1.101173666,0.971955076,0.783568058,0.104261402,0.106397845,0.016931217,0.266666667,0.7128125,0.0078125,5.4765625,0.208273894,0
0.132786407,0.079556866,0.119089848,0.067957993,0.209591599,1.932562432,0.963181346,0.738307004,0.112555426,0.11013192,0.017112299,0.253968254,0.298221983,0.0078125,2.71875,0.125159642,0
0.15076233,0.074463205,0.160106383,0.092898936,0.205718085,1.530643231,0.96757307,0.76263767,0.086196809,0.105944515,0.026229508,0.266666667,0.479619565,0.0078125,5.3046875,0.123991865,0
0.142239417,0.078018462,0.138587444,0.088206278,0.208587444,1.099746151,0.970722932,0.770992054,0.219103139,0.096728946,0.017957351,0.25,0.336476293,0.0078125,2.15625,0.148272018,0
0.134328777,0.080350028,0.121451347,0.075579989,0.201957119,1.190368444,0.975246143,0.804505253,0.011698736,0.105880926,0.019300362,0.262295082,0.340364583,0.015625,4.6796875,0.089919982,0
0.138550521,0.077053993,0.127526596,0.08731383,0.202739362,1.626769867,0.966003775,0.752042013,0.012101064,0.104199319,0.019138756,0.262295082,0.24609375,0.0078125,2.7109375,0.132351372,0
0.174272105,0.069411045,0.190874107,0.115601979,0.228279274,4.48503835,0.950972025,0.635199178,0.050027488,0.102045991,0.018327606,0.246153846,1.621299342,0.0078125,6.9921875,0.209310987,0
0.190846298,0.065790282,0.207950987,0.132280463,0.244356705,1.562303683,0.938546013,0.538809584,0.05012934,0.113322801,0.01754386,0.275862069,1.434114583,0.0078125,6.3125,0.254779788,0
0.171246971,0.07487157,0.152806653,0.122390852,0.243617464,3.207169827,0.936953537,0.586419514,0.05995842,0.079718312,0.015670911,0.262295082,0.106279481,0.0078125,0.5625,0.138354701,0
0.168345946,0.074120817,0.145618472,0.11575591,0.239824079,2.704334729,0.93452338,0.559742318,0.060032985,0.083484022,0.015717092,0.231884058,0.1465625,0.0078125,3.1171875,0.059536597,0
0.181015394,0.074369304,0.169298813,0.128673139,0.254174757,2.587324534,0.91528412,0.475317471,0.05995685,0.09864341,0.016145308,0.275862069,0.20984375,0.0078125,3.6875,0.059939972,0
0.164699838,0.075361772,0.14701847,0.118698329,0.240474934,4.208608405,0.94066879,0.604020485,0.05996482,0.082962611,0.015640274,0.253968254,0.143353175,0.0078125,1.0546875,0.125925926,0
0.169578801,0.075634514,0.186467577,0.116706485,0.238549488,4.269922678,0.929498042,0.543708544,0.05996587,0.082451321,0.01621074,0.271186441,0.1484375,0.0078125,3.6015625,0.050840564,0
0.166659499,0.075961168,0.142781457,0.122075055,0.245077263,3.281847964,0.915784869,0.560406695,0.127019868,0.127719891,0.017278618,0.275862069,0.274502841,0.0078125,0.625,0.3325,0
0.175659429,0.071651533,0.144191617,0.131057884,0.256526946,3.736487284,0.876748955,0.40390956,0.134411178,0.132726096,0.016563147,0.228571429,0.2578125,0.0078125,0.640625,0.203436807,0
0.174825733,0.071532831,0.146470588,0.123529412,0.247058824,2.576732042,0.875391519,0.43670621,0.12,0.124684802,0.016753927,0.25,0.799005682,0.0078125,4.1640625,0.205816135,0
0.167648361,0.067219927,0.157239513,0.136021651,0.209526387,1.93606513,0.903982305,0.48288605,0.134506089,0.142748251,0.016614746,0.262295082,0.239583333,0.0078125,0.59375,0.347587719,0
0.170209848,0.072023008,0.146003899,0.128810916,0.24588694,2.745951338,0.911850753,0.514600668,0.132358674,0.127529186,0.016161616,0.25,0.328464674,0.0078125,0.90625,0.171551724,0
0.171400807,0.068428139,0.145321955,0.131202483,0.246113266,2.930439972,0.893569585,0.424254448,0.137067494,0.141183375,0.015841584,0.262295082,0.313657407,0.0078125,0.6875,0.273221344,0
0.146886154,0.068160816,0.12146675,0.097103791,0.213349907,2.603394147,0.940658898,0.611977349,0.121292728,0.081563761,0.015936255,0.242424242,0.346768466,0.0078125,4.171875,0.095070116,0
0.166763785,0.064488516,0.160123648,0.116846986,0.229582689,2.117203042,0.937848763,0.592123294,0.121391036,0.101681481,0.015640274,0.253968254,0.41953125,0.0078125,2.8125,0.09957265,0
0.153691861,0.066495859,0.145158831,0.099085133,0.211512071,2.352593909,0.946349009,0.629271573,0.121321474,0.095597118,0.015920398,0.242424242,0.607610887,0.0859375,4.640625,0.120310245,0
0.168011339,0.068873401,0.167917889,0.115982405,0.228064516,2.319626258,0.926521541,0.567620972,0.121319648,0.101718928,0.016,0.262295082,0.204152961,0.0078125,0.6171875,0.231953472,0
0.148281383,0.068117184,0.129892781,0.094867763,0.200343102,3.268474946,0.942626112,0.635852983,0.121286633,0.097531607,0.015810277,0.275862069,0.715745192,0.0078125,5.21875,0.139221557,0
0.158595955,0.066216652,0.133302217,0.111085181,0.22445741,3.019164195,0.932415159,0.567913489,0.121213536,0.080459827,0.016064257,0.266666667,0.264128989,0.0078125,1.328125,0.182097187,0
0.158656925,0.067564057,0.161061947,0.104452008,0.219196732,1.939662533,0.942189913,0.613578163,0.121225323,0.101394916,0.015779093,0.275862069,0.467797256,0.0078125,6.875,0.0909375,0
0.14146076,0.072861395,0.124879288,0.090724269,0.201194409,2.264114987,0.964872909,0.734290427,0.060127065,0.10139476,0.021798365,0.235294118,0.896282328,0.0078125,5.1484375,0.239138987,0
0.141280115,0.074404048,0.13420617,0.090594432,0.202046652,2.052550657,0.966588205,0.744799871,0.060045147,0.109319559,0.026711185,0.228571429,0.9746875,0.0390625,5.7890625,0.168016194,0
0.153851203,0.072191575,0.144592094,0.102439024,0.219478553,1.75889252,0.954710869,0.684616797,0.060050463,0.11225641,0.024729521,0.275862069,0.628700658,0.0078125,2.6953125,0.206763285,0
0.145640705,0.077006409,0.137947214,0.087859238,0.211847507,2.111480565,0.964925488,0.739368357,0.059941349,0.103669506,0.015670911,0.275862069,0.920479911,0.0078125,5.421875,0.270946739,0
